Tijuana Flats,10/17/16,8.56
Publix,10/17/16,5.67
Starbucks,10/19/16,4.42
Firehouse Subs,10/20/16,9.32
Target,10/20/16,60.23
Tijuana Flats,10/20/16,8.56
Benjamin's,10/20/16,11.30
4 Rivers,10/21/16,8.23
Steak Shack,10/22/16,10.20
